title,image,description
Архитектурный сумбур. Топ зданий-подделок в центре Минска,https://content.onliner.by/news/1400x5616/21b28d6e154b4f0efbcbad6d794352ce.jpeg,"Детали разных пазлов будто случайно сложились вместе, образовав сумбурный архитектурный облик. Такое сравнение часто возникает у минчан и туристов, прогуливающихся по центру столицы. За последние 1..."
"Правда ли, что на электромобиле можно сэкономить? Нетривиальное мнение представителя сети АЗС",https://content.onliner.by/news/1400x5616/a80771e661e1c5a8f9c5d197800bf19d.jpeg,Алексей Никитенко — по должности инженер группы перспективного развития новых энергетических технологий «Белоруснефти». По образованию — магистр экономических наук. Он предпочитает Chevrolet Bolt. ...
Обзор Battlefield 5: бета-тест по цене полной игры,https://content.onliner.by/news/1400x5616/0c4d9eb7158ee4bb1abcdcf63f7e56ac.jpeg,"Battlefield вернулась на исходную: серия начинала с антуража Второй мировой и, побывав в разных эпохах, вновь пришла к сороковым годам двадцатого века. Позапрошлой осенью выбранный для Battlefield ..."
"«Если сыграешь „Мурку“, прогнешься под зрителя». Дядя Ваня про выступления в тюрьмах, песню «Саня останется с нами» и скандал с «Теорией Большого взрыва»",https://content.onliner.by/news/1400x5616/7b7ed6dec76dd2f5489440f6fd65d0a9.jpeg,"Дядя Ваня — это человек, который отвечает в белорусском шоу-бизнесе за легкий налет брутальности. На самом деле его зовут Иван Вабищевич, и он называет себя рок-н-ролльщиком. В интервью Onliner Дяд..."
"Что они творят? Видеоподборка о том, как не нужно вести себя на дороге",https://content.onliner.by/news/970x485/847e64a991a1720ad0b05533efd41a8c.jpeg,"Ежедневно на дорогах происходит огромное количество опасных ситуаций. Некоторые приводят к ДТП, в других случаях водители проявляют чудеса реакции, и столкновения удается избежать. В Беларусь вот-в..."
Стилист vs творческая девушка. Как найти модную одежду в минских магазинах и чувствовать себя в ней комфортно,https://content.onliner.by/news/1400x5616/3c500a4339f2ff24cd00c8d73854c363.jpeg,"В последнее время в Instagram стало подозрительно много стилистов, обещающих «разобрать гардероб», сделать «шопинг-сопровождение», «найти ваш индивидуальный стиль». Напрашивается вопрос: а разве вс..."
"Победителем стала Польша, Беларусь на 11-м месте. Фоторепортаж из «Минск-Арены», где сегодня проходит детское «Евровидение»",https://content.onliner.by/news/1400x5616/28c0558b35d27bc22a663b85e4503359.jpeg,"В «Минск-Арене» началось детское «Евровидение» — конкурс, в котором принимают участие представители двадцати стран. Дети привезли в Минск кучу богатых номеров и сейчас сражались за победу в конкурс..."
Россельхознадзор ввел ограничения на поставки в РФ белорусской мясной продукции,https://content.onliner.by/news/970x485/299c841bb0406ee7c1d98c4adfaa424b.jpeg,Россельхознадзор выявил нарушения ветеринарно-санитарных требований в животноводческой продукции одиннадцати белорусских предприятий. Такая информация опубликована сегодня на официальном сайте феде...
Новым мэром Минска назначен Анатолий Сивак,https://content.onliner.by/news/970x485/01445c086532e12f8c2250f0e2d62813.jpeg,"Президент Беларуси Александр Лукашенко назначил Анатолия Сивака, который до настоящего времени работал в должности министра транспорта и коммуникаций, председателем Минского городского исполнительн..."
"Круглосуточная работа, голод и три войны. 100-летняя женщина о том, как пережила все и не сломалась",https://content.onliner.by/news/1400x5616/9a63db94d65fb89b821e2174e174ea10.jpeg,"Мне 23. Обычно по ночам я или крепко сплю, или иду почилить на Зыбицкую да пропустить щавелевый шот. Работаю в офисе и ною, когда батареи еще холодные. Герою текста 100. В свои 23 она разбивала мер..."
«Белпочта» выступает за унификацию таможенных лимитов на посылки с соседями по ЕАЭС,https://content.onliner.by/news/970x485/3415a3ef02af9c55fe80c788ab42df05.jpeg,«Белпочта» выступает за унификацию таможенных лимитов на посылки с соседями по ЕАЭС. Об этом сегодня в интервью телеканалу СТВ сообщил генеральный директор РУП «Белпочта» Владимир Матусевич.— Естес...
Завтра снова на копейку увеличится стоимость топлива (кроме АИ-92),https://content.onliner.by/news/970x485/51bab20415a3a8234f6a5398a6dc499a.jpeg,"Как бы это сказать: ничего нового. Сегодня концерн «Белнефтехим» сообщил о том, что с 25 ноября на автозаправочных станциях Республики Беларусь цена автомобильного топлива вырастет на копейку. Подо..."
